donorId,age,income,pastDonations,numberOfKids,married,zipCode,month,donation
1,75,2,yes,2,1,30545,1,21
2,53,3,no,0,0,39478,1,0
3,44,3,no,3,0,38953,1,0
4,29,1,no,1,0,36623,1,0
5,68,2,no,4,0,30438,1,0
6,71,1,no,0,0,38865,1,0
7,26,2,no,1,0,35182,1,0
8,54,1,yes,2,1,30213,1,0
9,31,1,no,0,1,33047,1,0
10,60,1,no,0,0,31696,1,0
11,80,2,no,0,1,35724,1,21
12,59,2,no,0,1,39581,1,0
13,27,2,no,0,1,32609,1,0
14,35,2,no,1,0,34020,1,0
15,51,2,no,2,1,36980,1,0
16,33,3,no,2,1,32161,1,0
17,68,2,yes,0,0,31792,1,0
18,37,2,no,1,0,32369,1,0
19,75,1,no,0,0,36990,1,0
20,33,2,no,1,0,39153,1,0
21,36,3,no,1,1,37517,1,0
22,62,1,no,0,0,34622,1,0
23,74,1,no,0,0,34637,1,0
24,51,1,yes,0,0,31033,1,0
25,41,2,no,0,0,30410,1,0
26,28,1,no,0,1,39698,1,0
27,51,3,no,1,1,32148,1,0
28,36,1,no,0,1,35476,1,0
29,63,3,no,0,1,39049,1,0
30,39,3,no,4,1,34302,1,0
31,38,1,no,4,0,32657,1,0
32,77,3,no,0,1,36404,1,8
33,32,1,no,2,1,35940,1,0
34,35,1,yes,0,1,39296,1,0
35,53,1,no,2,0,35446,1,0
36,30,3,no,1,0,39543,1,0
37,36,1,no,0,1,33872,1,0
38,31,2,no,0,0,30422,1,0
39,69,3,no,2,0,31660,1,0
40,76,3,no,0,1,38469,1,9
41,50,2,no,0,1,37595,1,0
42,42,1,no,0,1,37264,1,0
43,48,1,no,0,0,33705,1,0
44,64,3,no,1,1,36752,1,0
45,38,2,no,0,1,37317,1,0
46,29,2,yes,4,0,34605,1,0
47,29,2,no,2,0,39416,1,0
48,49,2,no,2,0,38056,1,0
49,38,2,no,0,0,34940,1,0
50,38,1,no,3,1,37975,1,0
51,27,2,no,0,1,35162,1,0
52,43,3,yes,0,0,34600,1,0
53,81,1,no,1,0,30057,1,5
54,51,2,no,0,0,32899,1,0
55,80,2,no,0,1,31215,1,21
56,30,1,no,1,1,32080,1,0
57,54,1,no,2,1,35636,1,0
58,34,2,no,3,1,34873,1,0
59,70,3,no,0,0,39098,1,0
60,31,2,no,1,1,30984,1,0
61,57,2,no,0,0,35061,1,0
62,33,2,no,1,1,33791,1,0
63,52,1,no,1,1,32963,1,0
64,47,2,no,0,1,33374,1,0
65,43,2,no,1,0,38659,1,0
66,59,1,no,0,1,36614,1,0
67,43,1,no,2,1,32386,1,0
68,66,1,no,3,1,38362,1,0
69,35,1,no,3,1,32960,1,0
70,52,1,no,0,1,32645,1,0
71,62,1,no,3,0,33981,1,0
72,37,2,no,3,0,30736,1,0
73,56,2,no,0,1,31682,1,0
74,57,3,no,0,0,31200,1,0
75,44,2,no,2,0,37731,1,0
76,29,1,no,1,0,38444,1,0
77,80,3,no,4,0,33966,1,6
78,73,2,no,0,1,31629,1,0
79,36,2,yes,1,1,34971,1,0
80,74,1,no,2,1,30003,1,0
81,27,2,no,2,1,35611,1,0
82,30,2,no,3,0,35368,1,0
83,48,1,no,3,0,35805,1,0
84,70,2,no,0,1,37565,1,0
85,26,1,no,0,0,33881,1,0
86,61,3,no,2,1,33893,1,0
87,36,1,no,3,1,32128,1,0
88,69,1,no,3,1,37734,1,0
89,71,1,no,3,1,34950,1,0
90,48,2,no,1,1,38278,1,0
91,33,3,yes,3,0,30555,1,0
92,54,1,yes,0,0,35360,1,0
93,73,3,no,3,0,33873,1,13
94,65,3,no,1,0,31752,1,0
95,41,3,no,2,0,34974,1,0
96,70,2,no,0,0,37601,1,0
97,74,1,yes,3,1,39942,1,7
98,73,2,no,0,0,33629,1,28
99,26,1,no,1,0,31496,1,0
100,26,1,no,3,1,32466,1,0
101,54,2,no,0,1,34332,1,0
102,36,1,no,3,1,31122,1,0
103,50,2,no,0,1,31324,1,0
104,62,2,no,0,1,39740,1,0
105,66,2,no,0,1,35630,1,0
106,36,3,no,4,1,38621,1,0
107,78,3,no,0,1,35971,1,7
108,33,2,no,3,0,30341,1,0
109,35,1,no,0,0,33081,1,0
110,76,2,no,0,0,32064,1,24
111,49,2,no,1,0,34185,1,0
112,61,1,no,1,1,31332,1,0
113,79,2,no,0,1,34262,1,21
