Price,MtrsToBeach,SqMtrs,Age,NumStores,DogParkInd,SchoolScores
1775400,282.8416429,192.75,64,0,0,81
594000,3339.265245,57.75,82,5,1,77
1993200,336.3270397,147,50,33,0,85
1683000,1734.152739,126,28,15,0,81
4059000,404.2447402,406.5,7.350295549,20,0,78
849750,383.6730155,128.625,20,0,0,81
963105,11302.6304,79.5,52,6,0,82
757350,13242.44336,133.5,55,50,1,82
2186250,450.0016214,267,8.053009391,30,0,85
1544400,8422.351397,87,73,37,0,81
1023000,9840.506252,107.25,88,48,1,78
1320000,7967.518347,102.75,38,42,0,73
1749000,393.0318476,135.75,115,37,0,83
2145000,163.4553311,221.25,2.656394155,0,0,80
1303500,3967.901926,141.75,21,0,0,80
1600500,1471.890504,120,99,50,0,83
623700,12605.17248,90,94,30,1,82
759000,9563.753144,93.75,46,35,0,82
1270500,1570.257301,121.5,68,29,0,83
6600000,315.9182341,228.75,2.068326613,25,0,82
940500,11997.81344,170.25,20,0,1,80
833910,13747.87045,80.25,30,30,0,74
1085700,4432.301913,183.75,30,10,1,82
768900,2892.70591,128.25,74,13,1,80
3092100,376.5832496,183.75,1.162607661,31,0,80
2201100,17052.70258,105,4.895720391,26,0,76
1445400,12105.11039,114,67,16,1,79
2372700,12190.76765,192.75,1.784991613,11,0,81
1915650,190.010311,174,12,0,0,84
924000,8438.000067,89.25,10,45,0,80
2268750,2933.980139,174.75,9.606193611,32,1,81
1765500,218.9364029,81.75,86,0,0,80
1064250,17654.80994,154.5,34,24,0,76
2296800,132.4322629,172.5,2.15536305,0,0,79
1815000,318.2225797,124.5,82,10,0,79
2112000,107.4390127,177,1.46296148,0,0,80
792000,15137.0137,91.5,46,0,1,83
1996500,4491.409452,196.5,19,45,0,82
2062500,19885.70954,192.75,3.531212613,46,0,80
2557500,19007.18505,316.5,9.243135722,54,1,79
2844567,6039.034912,269.625,2.34190688,16,1,82
2260500,5695.303268,117.75,3.258191932,35,1,82
1019700,16365.60566,96,56,29,1,78
1610400,9170.212309,237,12,43,1,78
694617,14028.53538,74.25,49,44,0,81
2590500,236.0909725,171.75,9.878735195,0,0,82
1485000,10209.92758,93.75,62,9,1,80
4455000,382.236592,206.475,6.55936985,10,0,83
752400,8464.511042,89.25,60,0,1,81
1138500,5752.539463,236.25,49,14,1,78
